sta,line,lng,lat
锦城湖,5号线,104.052531,30.569867
大源,5号线,104.05308,30.556263
民乐,5号线,104.052808,30.54717
骑龙,5号线,104.050746,30.531937
警官学院,5号线,104.046291,30.519284
二江寺,5号线,104.042486,30.506389
南湖立交,5号线,104.039666,30.49516
怡心湖,5号线,104.033714,30.477713
龙马路,5号线,104.025793,30.464128
回龙,5号线,104.018861,30.450486
望丛祠,6号线,103.884408,30.813273
和平街,6号线,103.893922,30.806336
郫筒,6号线,103.901026,30.802079
蜀新大道,6号线,103.909757,30.797333
檬梓,6号线,103.920903,30.790811
尚锦路,6号线,103.929761,30.783701
红高路,6号线,103.943538,30.775632
天宇路,6号线,103.960956,30.760184
犀浦,6号线,103.977365,30.763718
兴业北街,6号线,103.989947,30.764404
梓潼宫,6号线,103.999862,30.753756
侯家桥,6号线,104.011262,30.742795
兴盛,6号线,104.027956,30.737056
青杠,6号线,104.032297,30.731837
西华大道,6号线,104.038357,30.724944
金府,6号线,104.043377,30.717744
星河,6号线,104.050311,30.70877
西南交大,6号线,104.055494,30.701119
沙湾,6号线,104.057477,30.695933
西北桥,6号线,104.064075,30.691791
人民北路,6号线,104.079208,30.691592
梁家巷,6号线,104.089975,30.688062
前锋路,6号线,104.099127,30.684027
建设北路,6号线,104.105647,30.678018
新鸿路,6号线,104.10874,30.668626
玉双路,6号线,104.10515,30.659751
牛王庙,6号线,104.100273,30.650562
顺江路,6号线,104.099761,30.641161
三官堂,6号线,104.101183,30.634399
东光,6号线,104.104556,30.625342
琉璃场,6号线,104.106408,30.613229
琉三路,6号线,104.104732,30.605976
金石路,6号线,104.095796,30.596206
金融城东,6号线,104.091626,30.585028
中和,6号线,104.102574,30.564274
张家寺,6号线,104.104994,30.555826
陆肖,6号线,104.104972,30.543569
观东,6号线,104.104925,30.536646
新通大道,6号线,104.105038,30.527508
新川路,6号线,104.10713,30.521353
龙灯山,6号线,104.107941,30.514906
蒲草塘,6号线,104.105126,30.507332
万安,6号线,104.106038,30.500178
麓山大道,6号线,104.1099,30.488724
沈阳路,6号线,104.108076,30.473232
青岛路,6号线,104.108588,30.464572
昌公堰,6号线,104.10086,30.454259
杭州路,6号线,104.096036,30.445057
天府商务区,6号线,104.092961,30.435944
西博城,6号线,104.082442,30.430495
秦皇寺,6号线,104.068118,30.430616
松林,6号线,104.052762,30.432359
钓鱼嘴,6号线,104.03875,30.442993
回龙,6号线,104.018861,30.450486
兰家沟,6号线,104.003033,30.449176
火车北站,7号线,104.08027,30.701344
北站西二路,7号线,104.072587,30.700391
九里堤,7号线,104.063457,30.700879
西南交大,7号线,104.055494,30.701119
花照壁,7号线,104.047248,30.702914
茶店子,7号线,104.037344,30.702534
一品天下,7号线,104.026772,30.695227
金沙博物馆,7号线,104.019096,30.683477
文化宫,7号线,104.01618,30.678237
东坡路,7号线,104.014456,30.666868
龙爪堰,7号线,104.015004,30.657335
武侯大道,7号线,104.0193,30.643407
太平园,7号线,104.027774,30.631577
高朋大道,7号线,104.039926,30.623718
神仙树,7号线,104.054223,30.616046
火车南站,7号线,104.073663,30.610881
三瓦窑,7号线,104.084344,30.610034
琉璃场,7号线,104.106408,30.613229
四川师大,7号线,104.122618,30.615102
狮子山,7号线,104.130852,30.62185
大观,7号线,104.139212,30.62765
成都东客站,7号线,104.147356,30.635147
迎晖路,7号线,104.146216,30.645195
槐树店,7号线,104.145913,30.65598
双店路,7号线,104.143602,30.663427
崔家店,7号线,104.142936,30.67159
理工大学,7号线,104.143066,30.679745
二仙桥,7号线,104.132893,30.686739
八里庄,7号线,104.124607,30.692966
府青路,7号线,104.113719,30.700231
驷马桥,7号线,104.100604,30.701188
十里店,8号线,104.150752,30.685918
理工大学,8号线,104.143066,30.679745
东郊记忆,8号线,104.135614,30.674536
杉板桥,8号线,104.125838,30.669991
万年路,8号线,104.121574,30.660427
双桥路,8号线,104.119789,30.652251
东大路,8号线,104.119101,30.639263
净居寺,8号线,104.110846,30.628185
东光,8号线,104.104556,30.625342
东湖公园,8号线,104.094456,30.625207
川大望江校区,8号线,104.082289,30.631163
倪家桥,8号线,104.072895,30.630932
芳草街,8号线,104.059062,30.63215
永丰,8号线,104.053381,30.63449
九兴大道,8号线,104.045255,30.627609
高朋大道,8号线,104.039926,30.623718
殷家林,8号线,104.040843,30.612116
庆安,8号线,104.040579,30.604678
石羊,8号线,104.03747,30.59167
三元,8号线,104.032798,30.587315
顺风,8号线,104.017478,30.583133
珠江路,8号线,104.014576,30.57235
川大江安校区,8号线,104.013624,30.56129
文星,8号线,103.997218,30.556315
莲花,8号线,103.985939,30.551865
黄田坝,9号线,103.978486,30.703446
成都西站,9号线,103.982696,30.689245
培风,9号线,103.983771,30.666621
机投桥,9号线,103.98487,30.650967
武青南路,9号线,103.991739,30.628332
簇桥,9号线,103.996905,30.612736
华兴,9号线,104.008144,30.604282
太平寺,9号线,104.018645,30.597233
三元,9号线,104.032516,30.587695
锦城大道,9号线,104.05674,30.581051
孵化园,9号线,104.070824,30.581641
心岛,9号线,104.079564,30.581721
金融城东,9号线,104.091626,30.585028
太平园,10号线,104.027774,30.631577
簇锦,10号线,104.014695,30.617198
华兴,10号线,104.008144,30.604282
金花,10号线,103.976779,30.597311
双流机场1航站楼,10号线,103.965899,30.584444
双流机场2航站楼,10号线,103.962133,30.575664
双流西站,10号线,103.923909,30.549502
应天寺,10号线,103.911204,30.54195
黄水,10号线,103.897809,30.525129
花源,10号线,103.887371,30.491274
新津站,10号线,103.879808,30.468806
花桥,10号线,103.863918,30.447486
五津,10号线,103.819708,30.430003
儒林路,10号线,103.809754,30.422809
刘家碾,10号线,103.798083,30.421657
新平,10号线,103.788437,30.414749
金星,17号线,103.800495,30.76245
黄石,17号线,103.820452,30.727899
市五医院,17号线,103.835998,30.704566
凤溪河,17号线,103.849656,30.692698
温泉大道,17号线,103.861597,30.678709
明光,17号线,103.875047,30.664211
九江北,17号线,103.927785,30.64091
白佛桥,17号线,103.969536,30.646814
机投桥,17号线,103.98487,30.650967
火车南站,18号线,104.073663,30.610881
孵化园,18号线,104.070824,30.581641
锦城广场东,18号线,104.076202,30.574533
世纪城,18号线,104.075143,30.560685
海昌路,18号线,104.077465,30.498881
西博城,18号线,104.082442,30.430495
兴隆,18号线,104.10872,30.415153
三岔,18号线,104.323735,30.317383
天府机场1号2号航站楼,18号线,104.451099,30.317363
天府机场北,18号线,104.462332,30.339929
